UK,Germany,France,Japan,Canada,USA,canada,france,usa,germany,japan,uk
209.5,207.1,201.8,188.5,123.9,90.5,1.07,6.409274999999999,8.620032460004635,13.961647499999998,5.944145606306515,46.87923399197892
212.3,215.5,208.9,182.2,127.1,94.2,0.98,5.839535700000001,7.402125996204934,13.713762,6.073539278937382,49.98847057579403
216.6,221.9,213.3,185.9,130.9,101.0,0.94,5.58912,7.480528846153846,13.76944,5.8641826923076925,46.69010424242425
224.8,223.2,215.9,192.1,134.4,102.2,1.0,4.8252375,10.22543126684636,13.0860441,5.919986522911052,46.94189356181796
220.5,209.6,204.5,191.6,129.4,99.6,0.91,4.4084075,12.990896019373391,11.013877,5.296590737097018,38.4458241201796
212.2,205.5,197.9,185.6,126.0,96.1,0.98,4.8092646000000006,13.840611913650385,11.6591722,6.042937834767084,39.905498394782605
206.7,200.6,190.0,178.9,126.7,91.1,1.14,5.573143,11.7157791898332,13.192775,4.8049007148530585,44.69658950297472
210.9,212.2,198.9,179.3,130.4,97.6,1.08,4.937856,10.67906976744186,12.08592,4.4379248658318415,51.85791032888889
219.3,218.4,198.4,185.8,131.7,99.5,1.27,6.2971941,10.3571501070494,13.173785,4.208211085560224,56.08067856196164
218.9,211.9,197.7,185.0,128.7,97.6,1.77,8.1638815,11.981366777976234,14.934392999999998,3.934767414770521,61.126681584742585
214.9,207.3,191.0,179.6,122.2,90.9,1.81,9.1405512,12.88403930635838,16.548444,4.377974566473988,65.76762449393014
211.9,206.1,193.7,174.0,118.8,86.6,1.75,9.0328,13.414754350839363,18.375296,4.21322655167103,66.55026487715837
209.7,211.2,204.9,167.5,120.6,87.0,2.44,10.5345603,14.218308321964532,19.2128625,3.922978626648477,68.60687742090431
210.6,220.0,212.9,167.3,129.7,98.0,2.41,11.1059728,13.423109791849896,21.069165,4.127881119906186,64.66703223407218
214.1,212.2,211.6,168.3,130.2,100.4,3.03,9.889632,17.540452043307692,20.4712695,4.341184615384615,69.30092735804324
212.8,214.2,207.0,161.0,126.3,96.0,3.0,10.0209616,17.18507614213198,19.765878,4.321690745802421,66.00612218543047
208.0,213.8,201.9,153.6,129.9,97.5,2.05,9.9242843,17.75951728886169,21.9732176787,4.447460220318238,78.93829146950135
214.5,217.6,208.9,155.8,132.0,98.8,2.41,9.2587128,16.96034753190835,20.950323,4.276238659080423,76.57090751572657
213.2,220.4,208.7,162.4,132.5,99.3,2.18,8.3463404,20.35482856485388,20.63957,4.38654445041037,81.06100429921167
221.1,224.8,214.0,170.3,131.7,98.2,2.81,7.762285,16.641039588999696,18.407315,4.252938954366877,73.25732188794294
223.4,222.4,211.7,167.9,129.5,97.1,3.53,10.2555024,19.96422712988289,20.088744,4.517222516055912,82.10819317852334
219.6,221.2,210.3,169.3,124.6,91.5,5.73,10.764702000000002,22.63133584462152,19.916793,4.274922532093847,87.16469071060516
219.5,220.7,208.8,165.8,124.3,89.9,7.56,10.740341399999998,24.48318104405776,22.510077,4.212608663457979,94.71389809865892
227.9,226.9,218.4,161.8,125.8,92.1,7.41,10.9192884,26.702556755565357,22.195548,4.145505840864007,110.27250054686282
233.7,227.8,223.3,166.5,125.7,95.6,7.81,12.5172972,35.69081541070263,25.9163229671,4.425448480893337,118.59469937855344
236.5,232.8,227.5,171.5,128.4,98.1,5.98,15.1385655,41.34269236460492,28.4311505131,4.903357502219592,128.3724872200645
238.3,235.5,231.5,173.3,132.4,103.6,5.53,16.754487,40.69110036096431,29.2013339643,4.747295301527546,119.81331968096823
237.3,239.4,229.7,176.0,137.0,106.2,7.58,15.7972965,38.76010659898477,27.555728,4.741398839738941,117.26125432416788
237.5,233.9,227.1,177.0,136.4,105.6,8.85,16.9911335,44.048415884476526,29.394585,4.793116967509025,122.82133552952614
238.1,234.1,225.3,177.3,138.8,105.6,9.53,13.568349,46.552890810244726,23.12016,5.093077092672889,118.83127699053006
240.4,232.4,223.0,179.3,134.0,102.4,9.61,11.790672100000002,41.40158685169492,19.364242500000003,5.200508474576272,103.26286989926076
235.6,228.5,217.9,179.2,132.0,100.6,8.49,11.652387,42.47919482157522,19.2816125,5.211567749160134,108.46601474500692
230.5,223.4,212.0,171.5,131.0,99.1,8.55,10.5910784,38.54090306860581,17.839633000000003,4.975122211223636,113.91938333109776
226.9,215.7,208.7,170.5,123.0,94.0,9.3,9.5226165,46.38955976529397,16.669880999999997,5.306472268507498,117.89613650308402
220.1,210.1,201.3,155.7,117.0,87.3,11.18,11.968112,54.71443515490258,20.26926,5.580804854679016,131.69689341408989
211.2,196.0,191.1,148.6,103.6,77.6,11.87,11.3192332,61.13106136923571,19.656579,5.68793568048761,131.81984640973886
199.0,182.9,179.8,144.0,92.6,67.7,11.75,11.0352361,56.849688503912375,21.1718465,6.405435301869699,150.43810745859545
205.1,190.5,187.5,142.6,101.1,73.2,12.34,10.1607362,60.68745941141087,18.76313,6.955618752764263,164.37644974011448
209.0,192.1,188.9,146.6,108.3,82.1,12.39,11.453508,65.71673363033807,18.30546,6.810733985765124,167.59806665292663
208.2,193.8,187.6,144.4,109.2,80.5,11.52,10.510272,61.207744642677824,16.90368,7.19941980474198,166.6829269128346
217.0,202.5,195.1,142.8,114.7,87.2,13.76,10.165268,50.92711426839056,17.2544,6.622808738296924,159.5502890986652
223.8,206.9,199.7,144.0,120.8,91.4,13.21,8.612622700000001,49.89945233251096,15.8128245,6.771533260233918,146.85095325533544
233.1,211.8,202.9,150.1,119.5,94.8,11.77,9.057153,50.22253803567568,17.16897,7.977994594594596,162.68717026274595
233.4,207.9,200.7,147.6,109.4,91.4,11.23,8.840718,50.86202243092915,15.533505000000002,7.894182547642929,173.24077639965915
224.5,202.2,193.7,149.3,103.3,82.9,10.73,9.255288,51.34020200356,18.45858,7.50997508009968,176.58712524890828
221.4,196.0,192.4,148.0,105.3,80.2,10.76,9.8724129,61.3296686809827,19.875057,8.027790728951851,180.864458825302
216.3,188.8,183.6,142.2,105.9,75.7,10.43,9.158965,54.36043123990198,19.6895975,7.5361532177543795,169.5809438749652
214.4,194.0,190.2,141.9,101.7,73.8,10.21,9.910836,56.40540299660377,20.562867,7.591754716981132,179.42936807532686
208.5,194.0,195.9,141.7,95.8,73.2,7.85,11.1722356,54.13547076623496,20.353694,8.191825112519519,170.45373328537366
200.0,186.6,190.9,135.5,90.0,64.2,7.22,12.8033682,57.45801176038221,21.026260500000003,8.156234840132305,147.19810239250987
192.7,183.2,185.4,131.6,96.6,68.7,8.96,12.2913038,55.4457285321928,20.8799295,7.7199494113318625,138.04759506491
194.4,188.5,189.0,135.8,101.6,71.4,9.33,11.6649808,45.19531535216935,20.196264000000003,7.439182995101469,125.64184097709352
204.4,195.3,194.4,141.2,107.4,77.6,9.63,10.343064000000002,39.97774796106288,17.993217,7.366629834254144,133.0503617825056
203.1,195.2,196.1,151.0,109.2,80.5,8.89,8.3446506,36.95450558564525,15.359057999999996,7.50577232862001,102.1590313014814
193.9,193.8,191.6,156.9,104.2,76.8,8.99,7.46841,45.87741356084419,15.29657,7.314539739559947,107.04282931528093
187.3,190.6,186.3,156.5,104.4,74.8,8.96,7.181180100000001,47.42996107246507,15.2361215,7.199424041562165,114.90491517246274
191.5,193.6,189.9,157.9,105.1,76.8,10.6,6.999442200000001,48.06663867163108,14.494977,7.247414319038219,117.66319618893516
185.9,195.0,193.9,159.0,108.2,78.8,12.65,8.164702,53.43732377206344,17.106505000000002,7.6339037720634355,105.2535881142353
192.5,191.8,191.2,156.6,102.0,77.4,13.5,7.496097000000001,62.04636601088436,18.007425,7.615510204081634,107.91274971776474
190.8,153.0,190.4,147.7,108.5,79.6,13.67,7.367776,62.56380782535052,17.472479999999997,7.343107179824974,120.11309110799306
193.7,196.3,197.8,150.5,113.5,82.0,13.37,6.947863600000001,59.55971919172754,17.500898000000003,7.954755715776492,119.58038575953653
196.8,196.5,197.4,151.5,108.7,79.9,13.38,9.3688662,60.56876126941613,19.496151,7.708276181649676,116.93748826757825
197.2,196.6,199.3,157.8,109.4,82.2,13.8,9.9684312,56.39999866666668,21.34688,8.4,113.38828303869082
207.3,208.3,208.1,163.3,117.8,87.2,12.99,11.0054475,56.86785948321018,22.59576,8.125886259470583,118.2331914392248
204.9,207.3,206.8,160.9,113.9,86.0,17.799999,14.98857,66.05551143641354,25.793763,8.814678865507776,129.23727203177347
196.4,203.2,201.6,157.4,109.2,82.5,17.379999,18.9210175,67.97393707104021,30.1963359845,9.604425528121938,117.68775695288318
186.3,197.1,193.2,147.4,109.5,75.8,19.83,16.9066475,65.3483513157203,26.8717360215,8.952361549246406,119.40552500199014
189.1,202.0,199.1,150.6,112.8,79.3,23.34,18.907571,55.81894763579411,31.050859,9.394650355570606,124.25446681697228
193.6,202.8,199.6,146.2,118.4,85.9,26.24,19.78322,59.08361826006712,34.86533000000001,9.903255033557048,123.39090707032312
195.0,202.9,201.2,150.7,115.7,83.4,25.559999,19.754015,58.24541250211755,40.24238,9.60389971201084,137.36264675780808
201.2,204.9,210.2,157.1,123.3,86.4,24.59,17.900776999999998,65.1604521160868,43.2645834986,10.272869445401309,140.6544098323511
205.4,205.0,212.2,160.1,119.7,83.5,25.879999,20.778758,66.98451953714768,47.004670469900006,10.698469499368954,158.8419097730239
208.0,207.3,221.7,160.9,123.6,83.9,23.91,18.813789,68.11627449345451,43.222086,10.408046360376886,164.03743949764998
212.6,210.1,228.1,168.7,123.1,86.1,27.059999,15.004204799999998,66.82952082831687,42.39117753479999,10.064464242716108,162.70196820521025
215.5,211.5,232.0,175.2,127.2,88.5,26.77,14.104254,66.82949834409662,40.6064775654,9.852077890066552,163.9769462474017
216.6,215.4,232.1,169.9,135.1,92.7,25.24,12.935351,55.38287070854639,38.418215,10.320590861131402,181.4797772059664
216.9,220.4,232.6,173.2,138.7,98.6,22.969999,10.5872104,56.02274157976653,36.13515,10.33216822584651,186.479455443156
223.1,225.0,239.1,181.9,135.5,101.2,21.25,10.5751728,49.25788883863228,31.19252,9.38183734681635,172.8298485328467
220.0,223.8,235.0,179.2,136.8,98.9,23.530001,12.060202,52.374051762051806,37.0608,9.748938068279294,169.86447302048418
216.0,223.3,233.0,178.6,134.1,97.7,26.82,12.550344,52.714678522571816,34.254518999999995,9.258926983584132,144.7622543440027
221.9,229.8,236.4,178.6,133.4,97.7,27.6,13.6302624,53.89111581701142,32.146272,9.323045232168914,149.30794433340765
220.9,227.5,232.6,182.5,129.5,98.3,24.98,12.726152,44.93661810563501,26.403792,8.556915388592106,129.9056189041065
218.4,231.2,222.1,182.3,116.4,92.4,29.0,15.172272,52.53617484420258,32.0436,9.484244711665058,114.0054919260998
207.4,218.7,218.3,178.3,109.3,84.0,25.959999,14.329968,42.73041421920944,29.7785215116,9.608021832907829,111.21033043607132
205.1,203.9,216.2,174.4,106.9,79.1,29.67,17.1655,48.75029257641921,34.424628439500005,9.75823580786026,123.6076423440242
204.7,200.1,216.0,171.5,109.7,80.5,33.110001,16.3639125,46.82436274736292,33.843376507500004,10.06664632551652,85.62334307584655
211.6,205.4,223.7,174.5,121.7,88.9,32.209999,15.008427500000002,41.77097074584907,29.2907629971,9.758835104981111,79.32406153103481
216.8,219.2,234.4,176.2,133.4,98.9,32.16,15.45618,45.64836952652189,32.292912,9.38876646493414,93.03146619370052
222.0,229.4,238.6,183.7,133.7,101.7,39.900002,11.66202,36.59228472098414,25.7028734925,8.788598680691747,76.87812683772378
216.0,225.3,230.7,181.9,122.0,95.4,39.689999,12.775198,44.202328501031296,22.778305000000003,8.797089947089948,78.11672734319508
203.6,214.1,222.0,176.5,126.9,95.2,45.41,14.0097184,39.964900872323554,21.369875,8.841792228390167,79.37718413005194
207.2,210.7,221.8,180.5,120.5,91.8,44.75,14.959749,34.8082454831929,20.413596,9.062580411343662,77.13524041623698
208.4,205.4,218.1,177.1,120.3,90.8,43.209999,14.0746116,35.821515525733965,21.371364,8.912212758245742,91.96022145729587
211.1,203.7,218.8,179.6,120.6,91.6,46.900002,15.442455000000002,39.90162832941824,22.487397,8.893576803083134,101.40849762351752
214.1,204.4,220.4,178.7,118.1,90.8,50.049999,15.680376,37.881378938863456,25.282402531800003,9.239682197683814,113.36095824597712
215.4,203.1,222.8,178.4,117.3,88.9,48.509998,14.5029336,38.16513567656165,23.981574,8.676313968311781,104.14340567767674
217.3,203.9,223.7,180.8,117.2,88.0,44.330002,12.2506416,34.87718711055724,20.189034,8.186523055011573,84.5719516248237
214.6,202.9,217.0,180.2,115.4,85.7,34.25,10.1043316,25.212118654813608,17.098962999999998,6.736466702859211,64.80298467312147
205.8,201.7,215.3,185.3,93.5,82.3,15.75,7.5231186,16.387704290789834,12.6349434,6.802443290516535,37.86462332086972
190.5,183.8,193.7,171.4,80.0,68.3,20.24,7.2497847,17.13313917337235,12.7272958,6.419577542062912,34.36016901752204
182.5,181.9,189.4,163.7,93.6,69.0,15.9,6.1257851,14.55576498712762,13.7833934,6.543162927546892,44.82669768011046
181.0,193.2,199.7,163.6,102.9,74.6,16.950001,6.1414524,17.90481827995682,13.6168776,6.301619287513494,37.961335798735405
190.4,201.2,207.9,167.4,108.0,78.3,15.11,5.3092113,15.10830714285714,11.3792726,5.434642857142856,28.821879754727416
196.1,201.4,208.0,169.6,106.0,76.9,17.6,6.0030848,17.510879473328835,13.878954000000002,6.977515192437543,34.79932609441107
194.8,201.4,208.0,169.6,106.0,76.9,15.69,4.62072,15.994327187786766,11.4816,6.246767331275548,28.73931395861601
193.5,198.8,206.7,168.5,104.0,75.0,14.73,4.388096,14.988808713410483,11.5121152,5.780258679373723,30.848439519857152
196.2,194.8,206.7,168.5,104.0,73.7,24.700001,7.778,18.790073516840486,15.0053176,6.449529834159685,51.64978968605889
194.9,197.4,208.9,165.6,107.0,73.9,22.77,7.947264,20.45303643048128,16.787043,5.732556818181818,47.75714470745451
204.2,218.3,219.6,169.5,113.0,79.6,20.02,7.627340699999999,21.874224594572567,16.641328499999997,5.618248716486023,57.87859027340578
213.2,220.9,222.1,171.1,120.0,84.3,25.1,8.6313972,26.8144302775571,19.009809,6.172184707050646,74.0666097782313
216.3,225.1,225.1,171.0,127.0,93.0,26.15,7.783630400000001,30.28694930722641,17.267257,6.120751680079648,64.5124700670071
217.5,227.5,226.3,172.5,130.0,95.0,24.77,6.8552532,27.34323388498212,15.878280599999998,5.954581134003065,72.73002308644874
216.4,226.1,223.7,168.1,133.0,95.5,27.360001,6.862208400000001,29.761311041218335,15.8397452,5.893328919053137,71.45874721342804
222.6,231.2,226.3,172.5,137.0,99.1,25.5,5.986156000000001,25.51792763124745,13.957892,5.71476482617587,62.36179386081012
230.0,238.8,233.7,179.7,142.0,104.3,24.98,5.7601462,25.2057577669135,14.0336504,5.862379670144733,57.48786663466344
234.2,239.2,234.2,181.3,141.0,104.5,24.51,5.8350495,24.803006878395426,12.5501635,5.970633252039358,54.21437964740428
233.3,242.2,234.6,181.6,140.0,105.9,23.129999,6.298280699999999,25.8371058644326,8.8366381,6.371138190742151,55.26833081816382
236.3,246.3,236.3,180.3,148.0,108.2,22.190001,5.982086000000001,24.327725405,8.395497599999999,5.866529310344827,49.47209554831704
246.7,250.5,237.9,186.3,146.0,113.3,20.799999,5.2644375000000005,21.887136321039904,7.6796325,4.949041285196062,39.46467462902749
248.2,241.8,236.7,186.8,142.0,111.3,21.129999,5.5870143,23.917969184679382,8.919594,5.566654607940671,45.86298000000001
250.4,251.7,244.1,185.6,150.0,111.9,22.860001,5.7212175,20.929957231767613,9.7973151,5.057755606568956,51.72902061134384
255.6,263.2,259.4,190.4,161.0,118.8,23.950001,5.6495349,21.905661634103023,9.8291326,5.562133214920071,49.1486400032336
267.1,300.0,277.2,186.1,181.0,141.8,24.25,5.7962852,23.14849489338828,10.4174564,5.238536104640745,48.70052827470284
264.6,278.6,246.9,173.5,176.0,138.0,22.5,5.458497,23.445516648570397,9.8747165,4.809016467607673,44.96940400499138
266.1,289.3,258.4,169.7,198.0,150.4,22.190001,2.4146661,22.76305819981024,9.1645876,5.05704174573055,35.87392382132812
290.7,267.6,285.5,165.2,210.0,166.5,16.040001,1.5126479999999998,16.88640680112146,7.5314304,4.78093063217871,24.51828366095963
293.9,246.0,265.4,163.1,189.0,156.6,17.389999,1.8119756,17.743435971223022,8.087104799999999,4.710875779376499,24.524397562551933
271.6,235.4,236.7,161.7,172.0,135.8,17.690001,1.9136726,16.598968044561712,7.760606,4.9068542949281735,23.87893189964158
252.5,264.6,208.4,159.0,159.0,130.9,16.6,1.71262845,15.849136345461815,7.7934142,4.962727908836466,18.800238802863323
253.5,265.8,224.7,157.6,174.0,138.4,19.610001,1.78434315,19.493863356585965,9.3043143,5.512721583914649,23.311365798414496
257.6,257.6,236.1,158.3,165.0,130.1,19.290001,1.72739925,19.53932542475118,10.3132133,5.768366341610535,26.59117223268028
258.5,253.1,243.5,171.0,145.0,116.3,19.389999,1.7306629,17.106416682609524,10.916813499999998,5.7155873349913895,24.93108557428688
245.3,258.0,266.8,173.0,153.0,118.5,22.58,2.235312,21.850889326832924,14.022684,6.065179073692106,31.299989852637754
239.7,261.2,273.2,168.8,153.0,120.5,20.120001,2.5682873,21.278307325133103,14.247793199999998,5.44607490361667,30.47780937192494
